CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
4691473,6-10 th,31-40 th,SMA,P,14208.17,180385.58,64430.77,-77976.63,180385.58,64430.77,-77976.63,8165033.333,0,0,-4053643.333,-5137766,8161266,5,0,0,1
4750816.6,6-10 th,21-30 th,UNIVERSITAS,L,14214812.11,15520292.47,5271636.372,-4117594.03,15520292.47,5271636.372,-4117594.03,39496169.55,1,0,-36594867.64,-27245277.91,34946477.91,4,0,0,0
4854738,6-10 th,31-40 th,UNIVERSITAS,P,80071.9,3023565.96,1842775.087,-1668845.323,3023565.96,1842775.087,-1668845.323,19075167.59,0,0,-10576660.82,-11422519,19988507,5,0,0,0
4798121,6-10 th,31-40 th,AKADEMI,P,220160.09,344182.67,499754.6733,714506.3033,344182.67,499754.6733,714506.3033,5664000,1,0,328691.75,314428,5613234,5,0,0,0
4958916.2,6-10 th,31-40 th,SMA,L,916074.21,3618618.54,6240048.267,2422784.223,3618618.54,6240048.267,2422784.223,16408465.83,0,0,-5871558.573,-6318782.29,18111832,5,0,0,0
4951002.4,6-10 th,31-40 th,UNIVERSITAS,L,480550.12,433250.31,830509.5567,-162170.8333,433250.31,830509.5567,-162170.8333,21767700,0,0,-7517500,-8394206,22616308,5,0,0,0
4947342,6-10 th,21-30 th,SMA,L,3142089.57,382769.15,331537.0667,417289.2367,382769.15,331537.0667,417289.2367,6777873.333,0,0,-2624903.333,-685005.3333,6275997.333,5,0,0,0
4928219.4,6-10 th,21-30 th,SMA,L,4964882.67,4335399.25,1365701.713,-568920.1633,4335399.25,1365701.713,-568920.1633,6694886.59,2,0,6664113.41,1102232.333,6162916.667,5,0,0,0
4941839.8,6-10 th,21-30 th,UNIVERSITAS,P,6809450.98,2875397.14,1859844.255,376949.24,2875397.14,1859844.255,376949.24,7543777.433,0,0,-1781777.433,-2088431.667,7033957.667,5,1,0,0
4983662,6-10 th,21-30 th,SMA,L,17342781.86,15594806.04,21236704.53,-5303015.433,15594806.04,21236704.53,-5303015.433,134545806.8,0,0,-29851943.58,-39518908.02,134837870.4,4,0,0,0
